"id","number","amount"
2,"40749139299065271590",100000.0
3,"40787558000532701343",250000.0
4,"40696319046068403223",50000.0
6,"40817665106399208256",20000.0
7,"40612730354410310609",40000.0
8,"40867094882985824287",20000.0
10,"40759602945937941882",10000.0
11,"40718908817343752051",30000.0
12,"40604789746095536978",10000.0
13,"40841688887770340744",15000.0
14,"40821888923951802163",0.0
15,"40673724006333691162",1500.0
1,"40813146899133141340",9000.0
5,"40854888435615924272",10000.0
9,"40848659241504049595",10000.0
